question,label
Humidity level today?,WEATHER_QUERY
millet साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
rice me stem borer ka ilaj kya hai?,CROP_DISEASE
Humidity level today?,WEATHER_QUERY
Kal barsaat hogi kya?,WEATHER_QUERY
groundnut me stem borer ka ilaj kya hai?,CROP_DISEASE
How to store banana?,STORAGE_GUIDE
Symptoms of bollworm in sugarcane,CROP_DISEASE
cotton साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Best seed variety for cotton?,SEED_GUIDE
Best seed variety for sunflower?,SEED_GUIDE
millet ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
Symptoms of fungal infection in wheat,CROP_DISEASE
When should I irrigate wheat?,IRRIGATION_GUIDE
What is today's weather?,WEATHER_QUERY
Storage method for millet,STORAGE_GUIDE
sugarcane साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
cotton ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
potato ke liye beej kaunsa le?,SEED_GUIDE
When should I irrigate tomato?,IRRIGATION_GUIDE
How to avoid insects while storing potato?,STORAGE_GUIDE
Best nutrients for maize,FERTILIZER_SUGGESTION
sunflower me paani kab dena chahiye?,IRRIGATION_GUIDE
Will it rain today in Pune?,WEATHER_QUERY
How much NPK for soybean?,FERTILIZER_SUGGESTION
potato me aphids ka ilaj kya hai?,CROP_DISEASE
banana ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
How to store banana?,STORAGE_GUIDE
maize ko kaise store kare?,STORAGE_GUIDE
tomato ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Which fertilizer is best for millet?,FERTILIZER_SUGGESTION
आज पाऊस येईल का?,WEATHER_QUERY
Best nutrients for soybean,FERTILIZER_SUGGESTION
grapes साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
sunflower ko kaise store kare?,STORAGE_GUIDE
Which fertilizer is best for banana?,FERTILIZER_SUGGESTION
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
How to avoid insects while storing tomato?,STORAGE_GUIDE
Best seed variety for sugarcane?,SEED_GUIDE
Humidity level today?,WEATHER_QUERY
Symptoms of fungal infection in onion,CROP_DISEASE
Best compost for healthy soil,SOIL_HEALTH
Is drip irrigation good for millet?,IRRIGATION_GUIDE
soybean ko kaise store kare?,STORAGE_GUIDE
soybean साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
Humidity level today?,WEATHER_QUERY
grapes ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How much NPK for pulses?,FERTILIZER_SUGGESTION
Which hybrid seeds are good for millet?,SEED_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
आज पाऊस येईल का?,WEATHER_QUERY
Which hybrid seeds are good for rice?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
आज पाऊस येईल का?,WEATHER_QUERY
How to improve soil health?,SOIL_HEALTH
Will it rain today in Nagpur?,WEATHER_QUERY
How often to water sugarcane?,IRRIGATION_GUIDE
Best seed variety for sunflower?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
wheat साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Which fertilizer is best for wheat?,FERTILIZER_SUGGESTION
आज पाऊस येईल का?,WEATHER_QUERY
What is today's weather?,WEATHER_QUERY
tomato me bollworm ka ilaj kya hai?,CROP_DISEASE
How to protect cotton from rust?,CROP_DISEASE
आज पाऊस येईल का?,WEATHER_QUERY
Best compost for healthy soil,SOIL_HEALTH
Mitti ki upj kaise badhaye?,SOIL_HEALTH
How to protect grapes from leaf spot?,CROP_DISEASE
pulses साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
What is today's weather?,WEATHER_QUERY
Kal barsaat hogi kya?,WEATHER_QUERY
grapes साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
Best seed variety for pulses?,SEED_GUIDE
soybean me aphids ka ilaj kya hai?,CROP_DISEASE
groundnut disease root rot treatment?,CROP_DISEASE
banana ke liye beej kaunsa le?,SEED_GUIDE
How to improve soil health?,SOIL_HEALTH
Mitti ki upj kaise badhaye?,SOIL_HEALTH
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
tomato ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Humidity level today?,WEATHER_QUERY
Mitti ki upj kaise badhaye?,SOIL_HEALTH
Will it rain today in Pune?,WEATHER_QUERY
groundnut ko kaise store kare?,STORAGE_GUIDE
Symptoms of whitefly in millet,CROP_DISEASE
Is drip irrigation good for rice?,IRRIGATION_GUIDE
tomato ke liye beej kaunsa le?,SEED_GUIDE
cotton me bollworm ka ilaj kya hai?,CROP_DISEASE
sugarcane ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
tomato me whitefly ka ilaj kya hai?,CROP_DISEASE
potato कसा साठवावा?,STORAGE_GUIDE
banana me paani kab dena chahiye?,IRRIGATION_GUIDE
Will it rain today in Mumbai?,WEATHER_QUERY
What is today's weather?,WEATHER_QUERY
soybean me paani kab dena chahiye?,IRRIGATION_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
Best compost for healthy soil,SOIL_HEALTH
soybean ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Best seed variety for cotton?,SEED_GUIDE
sugarcane me paani kab dena chahiye?,IRRIGATION_GUIDE
sunflower disease leaf spot treatment?,CROP_DISEASE
What is today's weather?,WEATHER_QUERY
Best nutrients for groundnut,FERTILIZER_SUGGESTION
Will it rain today in Delhi?,WEATHER_QUERY
When should I irrigate tomato?,IRRIGATION_GUIDE
groundnut कसा साठवावा?,STORAGE_GUIDE
Humidity level today?,WEATHER_QUERY
cotton ko kaise store kare?,STORAGE_GUIDE
High yield variety of rice,SEED_GUIDE
soybean ko kaise store kare?,STORAGE_GUIDE
Kal barsaat hogi kya?,WEATHER_QUERY
High yield variety of potato,SEED_GUIDE
Which fertilizer is best for tomato?,FERTILIZER_SUGGESTION
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
cotton ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
Humidity level today?,WEATHER_QUERY
Best seed variety for soybean?,SEED_GUIDE
How to store grapes?,STORAGE_GUIDE
cotton ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How to avoid insects while storing potato?,STORAGE_GUIDE
millet me paani kab dena chahiye?,IRRIGATION_GUIDE
sugarcane कसा साठवावा?,STORAGE_GUIDE
Which hybrid seeds are good for soybean?,SEED_GUIDE
How often to water maize?,IRRIGATION_GUIDE
Which hybrid seeds are good for potato?,SEED_GUIDE
sugarcane साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
maize ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Storage method for onion,STORAGE_GUIDE
Best nutrients for sugarcane,FERTILIZER_SUGGESTION
cotton ko kaise store kare?,STORAGE_GUIDE
How to improve soil health?,SOIL_HEALTH
Best seed variety for tomato?,SEED_GUIDE
groundnut disease stem borer treatment?,CROP_DISEASE
soybean साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
How to store sugarcane?,STORAGE_GUIDE
grapes साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Mitti ki upj kaise badhaye?,SOIL_HEALTH
When should I irrigate soybean?,IRRIGATION_GUIDE
groundnut साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
How often to water maize?,IRRIGATION_GUIDE
How to store tomato?,STORAGE_GUIDE
groundnut ko kaise store kare?,STORAGE_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
groundnut disease root rot treatment?,CROP_DISEASE
How to improve soil health?,SOIL_HEALTH
Mitti ki upj kaise badhaye?,SOIL_HEALTH
millet me whitefly ka ilaj kya hai?,CROP_DISEASE
Kal barsaat hogi kya?,WEATHER_QUERY
wheat me paani kab dena chahiye?,IRRIGATION_GUIDE
Is drip irrigation good for soybean?,IRRIGATION_GUIDE
cotton ke liye beej kaunsa le?,SEED_GUIDE
sunflower ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
Storage method for groundnut,STORAGE_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
Best nutrients for grapes,FERTILIZER_SUGGESTION
How to avoid insects while storing soybean?,STORAGE_GUIDE
How to protect sunflower from blight?,CROP_DISEASE
How to store banana?,STORAGE_GUIDE
What is today's weather?,WEATHER_QUERY
Which hybrid seeds are good for groundnut?,SEED_GUIDE
sugarcane ला root rot झाला तर काय करावे?,CROP_DISEASE
Symptoms of root rot in maize,CROP_DISEASE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
How to protect wheat from bollworm?,CROP_DISEASE
Will it rain today in Nagpur?,WEATHER_QUERY
How to protect groundnut from blast?,CROP_DISEASE
Which fertilizer is best for sunflower?,FERTILIZER_SUGGESTION
Best seed variety for rice?,SEED_GUIDE
Will it rain today in Nashik?,WEATHER_QUERY
How to reduce soil acidity?,SOIL_HEALTH
Best compost for healthy soil,SOIL_HEALTH
Is drip irrigation good for banana?,IRRIGATION_GUIDE
Which hybrid seeds are good for tomato?,SEED_GUIDE
Which hybrid seeds are good for sunflower?,SEED_GUIDE
sugarcane me root rot ka ilaj kya hai?,CROP_DISEASE
groundnut ला leaf spot झाला तर काय करावे?,CROP_DISEASE
How to improve soil health?,SOIL_HEALTH
High yield variety of soybean,SEED_GUIDE
Is drip irrigation good for banana?,IRRIGATION_GUIDE
wheat ला aphids झाला तर काय करावे?,CROP_DISEASE
potato me fungal infection ka ilaj kya hai?,CROP_DISEASE
What is today's weather?,WEATHER_QUERY
grapes कसा साठवावा?,STORAGE_GUIDE
Will it rain today in Lucknow?,WEATHER_QUERY
sunflower ला bollworm झाला तर काय करावे?,CROP_DISEASE
How to avoid insects while storing sunflower?,STORAGE_GUIDE
How to store sugarcane?,STORAGE_GUIDE
sugarcane ko kaise store kare?,STORAGE_GUIDE
soybean ko kaise store kare?,STORAGE_GUIDE
How to avoid insects while storing grapes?,STORAGE_GUIDE
Will it rain today in Pune?,WEATHER_QUERY
Will it rain today in Hyderabad?,WEATHER_QUERY
Mitti ki upj kaise badhaye?,SOIL_HEALTH
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
How to avoid insects while storing maize?,STORAGE_GUIDE
tomato साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
आज पाऊस येईल का?,WEATHER_QUERY
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
Best nutrients for onion,FERTILIZER_SUGGESTION
What is today's weather?,WEATHER_QUERY
How often to water groundnut?,IRRIGATION_GUIDE
Storage method for groundnut,STORAGE_GUIDE
grapes साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Storage method for millet,STORAGE_GUIDE
How much NPK for sunflower?,FERTILIZER_SUGGESTION
maize ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
tomato ke liye beej kaunsa le?,SEED_GUIDE
sunflower ला fungal infection झाला तर काय करावे?,CROP_DISEASE
onion कसा साठवावा?,STORAGE_GUIDE
pulses ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
Storage method for banana,STORAGE_GUIDE
grapes कसा साठवावा?,STORAGE_GUIDE
High yield variety of groundnut,SEED_GUIDE
How often to water tomato?,IRRIGATION_GUIDE
potato ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
Humidity level today?,WEATHER_QUERY
onion साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
How to store maize?,STORAGE_GUIDE
Which fertilizer is best for tomato?,FERTILIZER_SUGGESTION
millet साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
High yield variety of maize,SEED_GUIDE
millet ko kaise store kare?,STORAGE_GUIDE
Humidity level today?,WEATHER_QUERY
How to avoid insects while storing soybean?,STORAGE_GUIDE
sugarcane साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Best nutrients for potato,FERTILIZER_SUGGESTION
Will it rain today in Delhi?,WEATHER_QUERY
banana साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
When should I irrigate pulses?,IRRIGATION_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
wheat disease fungal infection treatment?,CROP_DISEASE
Humidity level today?,WEATHER_QUERY
How much NPK for grapes?,FERTILIZER_SUGGESTION
How to store millet?,STORAGE_GUIDE
Symptoms of aphids in maize,CROP_DISEASE
Is drip irrigation good for sunflower?,IRRIGATION_GUIDE
cotton ke liye beej kaunsa le?,SEED_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
Which hybrid seeds are good for groundnut?,SEED_GUIDE
Symptoms of aphids in grapes,CROP_DISEASE
When should I irrigate soybean?,IRRIGATION_GUIDE
Symptoms of blast in wheat,CROP_DISEASE
Kal barsaat hogi kya?,WEATHER_QUERY
wheat साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
cotton ko kaise store kare?,STORAGE_GUIDE
potato कसा साठवावा?,STORAGE_GUIDE
Best nutrients for grapes,FERTILIZER_SUGGESTION
cotton ko kaise store kare?,STORAGE_GUIDE
Which fertilizer is best for soybean?,FERTILIZER_SUGGESTION
Will it rain today in Pune?,WEATHER_QUERY
How to improve soil health?,SOIL_HEALTH
Is drip irrigation good for onion?,IRRIGATION_GUIDE
millet ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How to protect groundnut from root rot?,CROP_DISEASE
Best compost for healthy soil,SOIL_HEALTH
Which hybrid seeds are good for millet?,SEED_GUIDE
How to protect onion from whitefly?,CROP_DISEASE
cotton ला whitefly झाला तर काय करावे?,CROP_DISEASE
cotton ke liye beej kaunsa le?,SEED_GUIDE
When should I irrigate onion?,IRRIGATION_GUIDE
millet ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
How to avoid insects while storing grapes?,STORAGE_GUIDE
How to avoid insects while storing potato?,STORAGE_GUIDE
When should I irrigate soybean?,IRRIGATION_GUIDE
millet कसा साठवावा?,STORAGE_GUIDE
Best compost for healthy soil,SOIL_HEALTH
tomato ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
How to reduce soil acidity?,SOIL_HEALTH
rice ला stem borer झाला तर काय करावे?,CROP_DISEASE
Best nutrients for soybean,FERTILIZER_SUGGESTION
Humidity level today?,WEATHER_QUERY
Best nutrients for wheat,FERTILIZER_SUGGESTION
pulses disease fungal infection treatment?,CROP_DISEASE
How to protect tomato from leaf spot?,CROP_DISEASE
How much NPK for maize?,FERTILIZER_SUGGESTION
How often to water cotton?,IRRIGATION_GUIDE
How to improve soil health?,SOIL_HEALTH
How to store potato?,STORAGE_GUIDE
Symptoms of whitefly in wheat,CROP_DISEASE
How much NPK for tomato?,FERTILIZER_SUGGESTION
How to protect onion from blight?,CROP_DISEASE
pulses me whitefly ka ilaj kya hai?,CROP_DISEASE
Best nutrients for onion,FERTILIZER_SUGGESTION
When should I irrigate millet?,IRRIGATION_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
millet साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
potato disease leaf spot treatment?,CROP_DISEASE
pulses ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
potato साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
millet disease blight treatment?,CROP_DISEASE
How to avoid insects while storing potato?,STORAGE_GUIDE
banana ke liye beej kaunsa le?,SEED_GUIDE
How to protect wheat from leaf spot?,CROP_DISEASE
Will it rain today in Pune?,WEATHER_QUERY
How to protect onion from blast?,CROP_DISEASE
How to store maize?,STORAGE_GUIDE
rice कसा साठवावा?,STORAGE_GUIDE
How often to water potato?,IRRIGATION_GUIDE
Which hybrid seeds are good for maize?,SEED_GUIDE
How to store rice?,STORAGE_GUIDE
pulses me paani kab dena chahiye?,IRRIGATION_GUIDE
Best seed variety for soybean?,SEED_GUIDE
How to store wheat?,STORAGE_GUIDE
How to improve soil health?,SOIL_HEALTH
How to protect grapes from rust?,CROP_DISEASE
Will it rain today in Lucknow?,WEATHER_QUERY
Is drip irrigation good for soybean?,IRRIGATION_GUIDE
How often to water sunflower?,IRRIGATION_GUIDE
cotton कसा साठवावा?,STORAGE_GUIDE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
cotton disease aphids treatment?,CROP_DISEASE
How to improve soil health?,SOIL_HEALTH
Kal barsaat hogi kya?,WEATHER_QUERY
Humidity level today?,WEATHER_QUERY
How often to water soybean?,IRRIGATION_GUIDE
Best seed variety for cotton?,SEED_GUIDE
How often to water potato?,IRRIGATION_GUIDE
Is drip irrigation good for banana?,IRRIGATION_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
grapes me paani kab dena chahiye?,IRRIGATION_GUIDE
Which hybrid seeds are good for rice?,SEED_GUIDE
wheat me fungal infection ka ilaj kya hai?,CROP_DISEASE
Will it rain today in Mumbai?,WEATHER_QUERY
High yield variety of wheat,SEED_GUIDE
High yield variety of rice,SEED_GUIDE
How to protect wheat from aphids?,CROP_DISEASE
rice ला stem borer झाला तर काय करावे?,CROP_DISEASE
potato कसा साठवावा?,STORAGE_GUIDE
Symptoms of leaf spot in millet,CROP_DISEASE
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
banana me aphids ka ilaj kya hai?,CROP_DISEASE
Symptoms of stem borer in groundnut,CROP_DISEASE
How to reduce soil acidity?,SOIL_HEALTH
cotton साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
Best seed variety for soybean?,SEED_GUIDE
How to protect tomato from whitefly?,CROP_DISEASE
Best nutrients for rice,FERTILIZER_SUGGESTION
आज पाऊस येईल का?,WEATHER_QUERY
maize ko kaise store kare?,STORAGE_GUIDE
onion me paani kab dena chahiye?,IRRIGATION_GUIDE
grapes कसा साठवावा?,STORAGE_GUIDE
High yield variety of pulses,SEED_GUIDE
How to improve soil health?,SOIL_HEALTH
Mitti ki upj kaise badhaye?,SOIL_HEALTH
Humidity level today?,WEATHER_QUERY
Mitti ki upj kaise badhaye?,SOIL_HEALTH
Will it rain today in Nagpur?,WEATHER_QUERY
grapes ke liye beej kaunsa le?,SEED_GUIDE
Which hybrid seeds are good for wheat?,SEED_GUIDE
rice साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Which fertilizer is best for potato?,FERTILIZER_SUGGESTION
pulses साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
Symptoms of root rot in maize,CROP_DISEASE
Is drip irrigation good for sunflower?,IRRIGATION_GUIDE
onion ke liye beej kaunsa le?,SEED_GUIDE
How to improve soil health?,SOIL_HEALTH
High yield variety of soybean,SEED_GUIDE
tomato ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
tomato कसा साठवावा?,STORAGE_GUIDE
Humidity level today?,WEATHER_QUERY
When should I irrigate banana?,IRRIGATION_GUIDE
Will it rain today in Delhi?,WEATHER_QUERY
How often to water sunflower?,IRRIGATION_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
Symptoms of stem borer in cotton,CROP_DISEASE
How to avoid insects while storing groundnut?,STORAGE_GUIDE
sugarcane ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How to protect groundnut from bollworm?,CROP_DISEASE
आज पाऊस येईल का?,WEATHER_QUERY
millet me root rot ka ilaj kya hai?,CROP_DISEASE
Storage method for pulses,STORAGE_GUIDE
How to avoid insects while storing wheat?,STORAGE_GUIDE
Kal barsaat hogi kya?,WEATHER_QUERY
How much NPK for sunflower?,FERTILIZER_SUGGESTION
How to protect pulses from blight?,CROP_DISEASE
pulses me root rot ka ilaj kya hai?,CROP_DISEASE
soybean ला bollworm झाला तर काय करावे?,CROP_DISEASE
How to avoid insects while storing millet?,STORAGE_GUIDE
आज पाऊस येईल का?,WEATHER_QUERY
High yield variety of onion,SEED_GUIDE
Mitti ki upj kaise badhaye?,SOIL_HEALTH
banana ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How often to water potato?,IRRIGATION_GUIDE
Is drip irrigation good for banana?,IRRIGATION_GUIDE
Kal barsaat hogi kya?,WEATHER_QUERY
What is today's weather?,WEATHER_QUERY
How to reduce soil acidity?,SOIL_HEALTH
Will it rain today in Pune?,WEATHER_QUERY
Is drip irrigation good for groundnut?,IRRIGATION_GUIDE
How to avoid insects while storing soybean?,STORAGE_GUIDE
Which fertilizer is best for sunflower?,FERTILIZER_SUGGESTION
soybean ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
groundnut ला blast झाला तर काय करावे?,CROP_DISEASE
How to protect maize from rust?,CROP_DISEASE
potato साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
How much NPK for grapes?,FERTILIZER_SUGGESTION
मातीची सुपीकता कशी वाढवावी?,SOIL_HEALTH
groundnut साठी कोणते खत वापरावे?,FERTILIZER_SUGGESTION
wheat me blight ka ilaj kya hai?,CROP_DISEASE
onion ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
Kal barsaat hogi kya?,WEATHER_QUERY
What is today's weather?,WEATHER_QUERY
How much NPK for soybean?,FERTILIZER_SUGGESTION
groundnut कसा साठवावा?,STORAGE_GUIDE
How to protect sugarcane from stem borer?,CROP_DISEASE
How often to water onion?,IRRIGATION_GUIDE
sunflower साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
soybean ke liye beej kaunsa le?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
tomato साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
How to reduce soil acidity?,SOIL_HEALTH
Humidity level today?,WEATHER_QUERY
How to improve soil health?,SOIL_HEALTH
Is drip irrigation good for grapes?,IRRIGATION_GUIDE
cotton साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
tomato ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
How to store grapes?,STORAGE_GUIDE
banana me aphids ka ilaj kya hai?,CROP_DISEASE
pulses ला blight झाला तर काय करावे?,CROP_DISEASE
आज पाऊस येईल का?,WEATHER_QUERY
rice ke liye kaunsa fertilizer sahi hai?,FERTILIZER_SUGGESTION
banana ला पाणी कधी द्यावे?,IRRIGATION_GUIDE
How to avoid insects while storing grapes?,STORAGE_GUIDE
cotton साठी सर्वोत्तम बियाणे कोणते?,SEED_GUIDE
Is drip irrigation good for sunflower?,IRRIGATION_GUIDE
